"","ColA","ColB","ColC","ColD","ColE","ColF","ColG","ColH","ColI","ColJ","ColK","ColL"
"212",13,"2004-2005","Mosaic Vegetation","Gain",52,0.27,0.08,15,37,70.95,0,0.02
"213",13,"2004-2005","Shrubland","Gain",30,0.06,0.08,37,7,0,19.92,0.02
"214",13,"2004-2005","Other Vegetation","Gain",0,0,0.08,1,1,0,100,0.02
"215",13,"2004-2005","Cropland","Gain",10,0.1,0.08,8,2,18.36,0,0.02
"216",13,"2004-2005","Non-Vegetation","Gain",0,0,0.08,1,1,0,100,0.02
"217",14,"2005-2006","Forest","Gain",132,0.17,0.14,112,20,15.07,0,0.03
"218",14,"2005-2006","Mosaic Vegetation","Gain",55,0.29,0.14,27,28,51.47,0,0.03
"219",14,"2005-2006","Shrubland","Gain",24,0.05,0.14,66,42,0,63.56,0.03
"220",14,"2005-2006","Other Vegetation","Gain",0,0,0.14,1,1,0,100,0.03
"221",14,"2005-2006","Cropland","Gain",11,0.11,0.14,14,3,0,23.65,0.03
"222",14,"2005-2006","Non-Vegetation","Gain",0,0,0.14,2,2,0,100,0.03
"223",15,"2006-2007","Forest","Gain",53,0.07,0.19,150,97,0,64.75,0.07
"224",15,"2006-2007","Mosaic Vegetation","Gain",89,0.46,0.19,36,53,59.61,0,0.07
"225",15,"2006-2007","Shrubland","Gain",147,0.31,0.19,88,59,39.87,0,0.07
"226",15,"2006-2007","Other Vegetation","Gain",8,0.92,0.19,2,6,79.7,0,0.07
"227",15,"2006-2007","Cropland","Gain",1,0.01,0.19,19,18,0,94.84,0.07
"228",15,"2006-2007","Non-Vegetation","Gain",0,0,0.19,2,2,0,100,0.07
"229",16,"2007-2008","Forest","Gain",84,0.11,0.18,141,57,0,40.48,0.08
"230",16,"2007-2008","Mosaic Vegetation","Gain",116,0.6,0.18,34,82,70.77,0,0.08
"231",16,"2007-2008","Shrubland","Gain",21,0.04,0.18,83,62,0,74.72,0.08
"232",16,"2007-2008","Other Vegetation","Gain",0,0,0.18,2,2,0,100,0.08
"233",16,"2007-2008","Cropland","Gain",59,0.57,0.18,18,41,69.2,0,0.08
"234",16,"2007-2008","Non-Vegetation","Gain",0,0,0.18,2,2,0,100,0.08
"235",17,"2008-2009","Forest","Gain",56,0.07,0.15,121,65,0,53.85,0.06
"236",17,"2008-2009","Mosaic Vegetation","Gain",120,0.62,0.15,29,91,75.56,0,0.06
"237",17,"2008-2009","Shrubland","Gain",58,0.12,0.15,71,13,0,18.78,0.06
"238",17,"2008-2009","Other Vegetation","Gain",0,0,0.15,1,1,0,100,0.06
"239",17,"2008-2009","Cropland","Gain",7,0.07,0.15,16,9,0,55.45,0.06
"240",17,"2008-2009","Non-Vegetation","Gain",0,0,0.15,2,2,0,100,0.06
"241",18,"2009-2010","Forest","Gain",110,0.14,0.24,195,85,0,43.5,0.06
"242",18,"2009-2010","Mosaic Vegetation","Gain",122,0.63,0.24,47,75,61.18,0,0.06
"243",18,"2009-2010","Shrubland","Gain",121,0.26,0.24,115,6,5.33,0,0.06
"244",18,"2009-2010","Other Vegetation","Gain",0,0,0.24,2,2,0,100,0.06
"245",18,"2009-2010","Cropland","Gain",34,0.33,0.24,25,9,25.71,0,0.06
"246",18,"2009-2010","Non-Vegetation","Gain",0,0,0.24,3,3,0,100,0.06
"247",19,"2010-2011","Forest","Gain",35,0.04,0.18,145,110,0,75.8,0.07
"248",19,"2010-2011","Mosaic Vegetation","Gain",89,0.46,0.18,35,54,60.18,0,0.07
"249",19,"2010-2011","Shrubland","Gain",141,0.3,0.18,85,56,39.49,0,0.07
"250",19,"2010-2011","Other Vegetation","Gain",0,0,0.18,2,2,0,100,0.07
"251",19,"2010-2011","Cropland","Gain",23,0.22,0.18,19,4,18.07,0,0.07
"252",19,"2010-2011","Non-Vegetation","Gain",0,0,0.18,2,2,0,100,0.07
"253",20,"2011-2012","Forest","Gain",37,0.05,0.22,176,139,0,78.94,0.12
"254",20,"2011-2012","Mosaic Vegetation","Gain",49,0.25,0.22,43,6,11.74,0,0.12
"255",20,"2011-2012","Shrubland","Gain",52,0.11,0.22,104,52,0,49.76,0.12
"256",20,"2011-2012","Other Vegetation","Gain",0,0,0.22,2,2,0,100,0.12
"257",20,"2011-2012","Cropland","Gain",212,2.01,0.22,23,189,89.17,0,0.12
"258",20,"2011-2012","Non-Vegetation","Gain",0,0,0.22,3,3,0,100,0.12
"259",21,"2012-2013","Forest","Gain",6,0.01,0.08,60,54,0,89.93,0.04
"260",21,"2012-2013","Mosaic Vegetation","Gain",52,0.27,0.08,15,37,71.7,0,0.04
"261",21,"2012-2013","Shrubland","Gain",48,0.1,0.08,35,13,26.73,0,0.04
"262",21,"2012-2013","Other Vegetation","Gain",0,0,0.08,1,1,0,100,0.04
"263",21,"2012-2013","Cropland","Gain",3,0.03,0.08,8,5,0,62.25,0.04
"264",21,"2012-2013","Non-Vegetation","Gain",10,0.81,0.08,1,9,90.8,0,0.04
"265",22,"2013-2014","Forest","Gain",15,0.02,0.2,156,141,0,90.38,0.09
"266",22,"2013-2014","Mosaic Vegetation","Gain",53,0.27,0.2,39,14,26.95,0,0.09
"267",22,"2013-2014","Shrubland","Gain",202,0.43,0.2,92,110,54.28,0,0.09
"268",22,"2013-2014","Other Vegetation","Gain",1,0.12,0.2,2,1,0,41.2,0.09
"269",22,"2013-2014","Cropland","Gain",21,0.2,0.2,21,0,0.79,0,0.09
"270",22,"2013-2014","Non-Vegetation","Gain",20,1.6,0.2,2,18,87.83,0,0.09
"271",23,"2014-2015","Forest","Gain",0,0,0,0,0,0,0,0
"272",23,"2014-2015","Mosaic Vegetation","Gain",0,0,0,0,0,0,0,0
"273",23,"2014-2015","Shrubland","Gain",0,0,0,0,0,0,0,0
"274",23,"2014-2015","Other Vegetation","Gain",0,0,0,0,0,0,0,0
"275",23,"2014-2015","Cropland","Gain",0,0,0,0,0,0,0,0
"276",23,"2014-2015","Non-Vegetation","Gain",0,0,0,0,0,0,0,0
